2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:50 - Midi Index: 48 | Intensity: 32 | Note Name: C3
2025-01-25 03:40:50 - Midi Index: 69 | Intensity: 0 | Note Name: A4
2025-01-25 03:40:50 - 
Resonance: 0 | Inflow: NaN | Outflow: NaN | Overflow: NaN
- C3 | Intensity: 32
- A4 | Intensity: 0

- M13 | Intensity: 0 | Inflow: 0 | Outflow: NaN | Oveflow: NaN
False | True | True | True
2025-01-25 03:40:50 - NaN Check: 1 True
2025-01-25 03:40:50 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - NaN Check: 1 True
2025-01-25 03:40:51 - NaN Check: 2 True
2025-01-25 03:40:51 - Midi Index: 48 | Intensity: 32 | Note Name: C3
2025-01-25 03:40:51 - Midi Index: 69 | Intensity: 3 | Note Name: A4
2025-01-25 03:40:51 - 
Resonance: 0 | Inflow: NaN | Outflow: NaN | Overflow: NaN
- C3 | Intensity: 32
- A4 | Intensity: 3

- M13 | Intensity: 0 | Inflow: 0 | Outflow: NaN | Oveflow: NaN
False | True | True | True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - NaN Check: 1 True
2025-01-25 03:40:52 - NaN Check: 2 True
2025-01-25 03:40:52 - Midi Index: 48 | Intensity: 32 | Note Name: C3
2025-01-25 03:40:52 - Midi Index: 69 | Intensity: 7 | Note Name: A4
2025-01-25 03:40:52 - 
Resonance: 0 | Inflow: NaN | Outflow: NaN | Overflow: NaN
- C3 | Intensity: 32
- A4 | Intensity: 7

- M13 | Intensity: 0 | Inflow: 0 | Outflow: NaN | Oveflow: NaN
False | True | True | True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - delete success True - 12866109
2025-01-25 03:40:53 - add success True - 12866109
2025-01-25 03:40:53 - Midi Index: 70 | Intensity: 7 | Note Name: A#/Bb4
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
2025-01-25 03:40:53 - NaN Check: 1 True
2025-01-25 03:40:53 - NaN Check: 2 True
